computer,computerLabel
http://www.wikidata.org/entity/Q518328,methylation
http://www.wikidata.org/entity/Q728393,fluid balance
http://www.wikidata.org/entity/Q838181,respiratory burst
http://www.wikidata.org/entity/Q898365,glycosylation
http://www.wikidata.org/entity/Q900386,demethylation
http://www.wikidata.org/entity/Q14327719,small molecule metabolic process
http://www.wikidata.org/entity/Q14349764,oxidation-reduction process
http://www.wikidata.org/entity/Q14851921,hormone metabolic process
http://www.wikidata.org/entity/Q14914008,biosynthetic process
http://www.wikidata.org/entity/Q14914343,collagen metabolic process
http://www.wikidata.org/entity/Q14914558,nitrogen compound metabolic process
http://www.wikidata.org/entity/Q17165842,reactive oxygen species production in marine microalgae
http://www.wikidata.org/entity/Q21130714,catabolic process
http://www.wikidata.org/entity/Q21149516,organic substance metabolic process
http://www.wikidata.org/entity/Q21762806,primary metabolic process
http://www.wikidata.org/entity/Q22273985,multi-organism metabolic process
