computer,computerLabel
http://www.wikidata.org/entity/Q207522,probability density function
http://www.wikidata.org/entity/Q255598,bimodal distribution
http://www.wikidata.org/entity/Q428971,power law
http://www.wikidata.org/entity/Q670653,marginal distribution
http://www.wikidata.org/entity/Q1188504,exponential family
http://www.wikidata.org/entity/Q1333358,joint probability distribution
http://www.wikidata.org/entity/Q1417619,Voigt profile
http://www.wikidata.org/entity/Q1472677,heavy-tailed distribution
http://www.wikidata.org/entity/Q1934245,stable distribution
http://www.wikidata.org/entity/Q2300258,conditional probability distribution
http://www.wikidata.org/entity/Q2421579,log-Laplace distribution
http://www.wikidata.org/entity/Q2671311,Rice distribution
http://www.wikidata.org/entity/Q3258268,noncentral beta distribution
http://www.wikidata.org/entity/Q3258303,Benktander Gibrat distribution
http://www.wikidata.org/entity/Q3258332,Kent distribution
http://www.wikidata.org/entity/Q3711786,compound Poisson distribution
http://www.wikidata.org/entity/Q3711805,singular distribution
http://www.wikidata.org/entity/Q3773214,sampling distribution
http://www.wikidata.org/entity/Q4820795,matrix normal distribution
http://www.wikidata.org/entity/Q4889567,Benktander Weibull distribution
