computer,computerLabel
http://www.wikidata.org/entity/Q365715,Unsharp masking
http://www.wikidata.org/entity/Q861092,image registration
http://www.wikidata.org/entity/Q3878457,spatial normalization
http://www.wikidata.org/entity/Q5318983,dynamic imaging
http://www.wikidata.org/entity/Q6002283,Image subtraction
http://www.wikidata.org/entity/Q7226647,Polynomial texture mapping
http://www.wikidata.org/entity/Q17013605,association
http://www.wikidata.org/entity/Q45318647,image-to-image translation
