computer,computerLabel
http://www.wikidata.org/entity/Q27075,mitochondrial DNA
http://www.wikidata.org/entity/Q135758,Z-DNA
http://www.wikidata.org/entity/Q283478,Complementary DNA
http://www.wikidata.org/entity/Q285697,Recombinant DNA
http://www.wikidata.org/entity/Q290447,Ancient DNA
http://www.wikidata.org/entity/Q425319,Satellite DNA
http://www.wikidata.org/entity/Q427389,vector
http://www.wikidata.org/entity/Q1458444,noncoding DNA
http://www.wikidata.org/entity/Q2360205,A-DNA
http://www.wikidata.org/entity/Q5005877,C-DNA
http://www.wikidata.org/entity/Q10859466,B-DNA
http://www.wikidata.org/entity/Q10906438,single-stranded DNA
http://www.wikidata.org/entity/Q14225730,cffDNA
http://www.wikidata.org/entity/Q48997052,Cruciform DNA
http://www.wikidata.org/entity/Q55978910,double-stranded DNA
http://www.wikidata.org/entity/Q60775442,Circulating mitochondrial DNA
