computer,computerLabel
http://www.wikidata.org/entity/Q130416,micrography
http://www.wikidata.org/entity/Q138679,travel photography
http://www.wikidata.org/entity/Q173095,digital photography
http://www.wikidata.org/entity/Q181169,sports photography
http://www.wikidata.org/entity/Q186563,time-lapse photography
http://www.wikidata.org/entity/Q191839,aerial photography
http://www.wikidata.org/entity/Q272444,macro photography
http://www.wikidata.org/entity/Q280855,astrophotography
http://www.wikidata.org/entity/Q333327,abstract photography
http://www.wikidata.org/entity/Q421966,nude photographs
http://www.wikidata.org/entity/Q455628,vernacular photography
http://www.wikidata.org/entity/Q506858,photojournalism
http://www.wikidata.org/entity/Q569406,underwater photography
http://www.wikidata.org/entity/Q573845,Flat Daddy
http://www.wikidata.org/entity/Q590870,cinematography
http://www.wikidata.org/entity/Q597503,subjective photography
http://www.wikidata.org/entity/Q612277,theatrical photography
http://www.wikidata.org/entity/Q615498,documentary photography
http://www.wikidata.org/entity/Q635309,architectural photography
http://www.wikidata.org/entity/Q690810,nature photography
